,Rank,POS,AVG,Sleeper,Player,Team,Bye,player_id,predicted_fantasy_points,position_group,replacement_value,vor,rank
335,442,WR142,402.0,,Kendrick Bourne,NE,10,00-0033307,97.94379937261343,WR,16.998800196647643,80.94499917596579,117.0
194,221,K15,242.2,,Aldrick Rosas,,,00-0032870,79.84200002670288,K,0.0,79.84200002670288,118.0
435,664,WR209,532.0,,Auden Tate,,,00-0034686,94.63700125291943,WR,16.998800196647643,77.63820105627178,119.0
185,210,WR70,216.2,,Ted Ginn,Jr.,,00-0025396,94.16366740976771,WR,16.998800196647643,77.16486721312006,120.0
161,185,TE20,157.6,,Jimmy Graham,,,00-0027696,93.07699976027013,TE,16.59899981290102,76.47799994736911,121.0
544,1044,RB260,973.0,,Raheem Mostert,MIA,5,00-0031687,163.04899869009853,RB,88.13559999167919,74.91339869841934,122.0
276,324,TE37,532.0,,Cameron Brate,,,00-0031273,91.4559992043674,TE,16.59899981290102,74.85699939146639,123.0
102,117,WR45,119.8,,Geronimo Allison,,,00-0032626,91.37019964993,WR,16.998800196647643,74.37139945328235,124.0
107,122,QB16,126.5,,Jameis Winston,NO,9,00-0031503,295.9928015226126,QB,222.3416029421985,73.65119858041407,125.0
503,841,QB102,727.0,,Ryan Griffin,,,00-0030108,89.50300027310848,TE,16.59899981290102,72.90400046020747,126.0
210,239,WR75,386.2,,Nelson Agholor,BAL,8,00-0031549,89.88633408422271,WR,16.998800196647643,72.88753388757507,127.0
162,186,WR61,207.0,,Demaryius Thomas,,,00-0027874,89.83399951219559,WR,16.998800196647643,72.83519931554795,128.0
413,610,TE89,470.0,,Jacob Hollister,,,00-0033387,88.46300085837643,TE,16.59899981290102,71.86400104547542,129.0
122,139,RB48,145.5,,Adrian Peterson,,,00-0025394,159.84400089621545,RB,88.13559999167919,71.70840090453626,130.0
533,1003,TE186,902.0,,Jordan Akins,CLE,7,00-0034364,87.63299873277545,TE,16.59899981290102,71.03399891987442,131.0
